wallet_address,Proposal voter,Proposal votes,Direct votes,Delegated votes,p1,p2,p3,p4,p5,p6,p7
0x9102a9ab35a47d88ea92eead5b985312d7cda0b1,1,7,7,0,1,1,1,1,1,1,1
0xddfd07cbb255fa8fffa6a7320dc70f7db4d96a29,1,7,7,0,1,1,1,1,1,1,1
0x89d652c64d7cee18f5df53b24d9d29d130b18798,1,7,7,0,1,1,1,1,1,1,1
0x11f329e3e7e27d31eeb996c992a33baf96803a08,1,7,1,6,1,1,1,1,1,1,1
0xa8bf0cd4d76d92cb345e81999029f3174a219305,1,7,7,0,1,1,1,1,1,1,1
0x747dfb7d6d27671b4e3e98087f00e6b023d0aab7,1,7,7,0,1,1,1,1,1,1,1
0x01772953ed3b69349088ae7824c649d6dcd0cb1e,1,7,0,7,1,1,1,1,1,1,1
0x0c6919928e21012f68a47573b18100dd446df951,1,6,3,3,1,1,1,0,1,1,1
0xb82598ba668744fe5a128e6641e7e118d4c0e42a,1,6,6,0,0,1,1,1,1,1,1
0x410d21a74cc91a518e48787715069d2994ceb1dc,1,6,6,0,1,1,1,1,1,1,0
0x7bf49c2e9b7d9abbc178a7916999dd7fb7e4c96f,1,6,6,0,1,1,1,1,1,1,0
0xf2b1c6e63476bcec9a7760d69c1f580a2055e277,1,6,6,0,0,1,1,1,1,1,1
0x52eebd82826a7b530839424ceab6ca3643eb0ef1,1,6,6,0,0,1,1,1,1,1,1
0xc6bb76d4db067495f8b9b545e6e1cc9e550f3ff3,1,6,0,6,0,1,1,1,1,1,1
0xa08949ccaa0d8dcaf951611b95d58e74edf2ec1e,1,6,6,0,1,1,1,1,1,0,1
0xa2ad64b2d890a59ce18c0ddd51a7de9ef69eb3da,1,6,6,0,0,1,1,1,1,1,1
0x473d13919ebd47e73be21b0a3b4982ce09961f78,1,6,2,4,0,1,1,1,1,1,1
0x91a9b4da163a1f248c92dbd262ad3e95e042c87e,1,5,2,3,0,1,1,0,1,1,1
0xfa006a18f847bf45f67bce08e2312149b254b59e,1,5,5,0,1,0,1,1,1,1,0
0x5624dda77a7b12f9da10e52d97ecd678b0dc6aa9,1,5,0,5,0,1,1,0,1,1,1
0x74c2d8090e0759089e8d5266793ef03dd7e49599,1,5,5,0,0,1,1,0,1,1,1
0x478f25e0856aa133f7f9f68f1dab2505b6ef9bd1,1,5,5,0,1,1,1,1,0,1,0
0xe0d04b61d5e332907df3070fe1d24120e492810d,1,5,5,0,1,1,1,0,1,0,1
0xa81d2c1233f43f96b9ce55ce52ca175f575800a6,1,5,5,0,1,1,1,0,1,0,1
0x6d79116eb6d33d54d64b96db7c34c7cae7eeb6e3,1,5,5,0,1,1,1,1,0,0,1
